Indicator_type,Data,Note,,,,,,
Description,IoCs related to signed drivers used to sabotage endpoint security products,https://news.sophos.com/en-us/2022/12/13/signed-driver-malware-moves-up-the-software-trust-chain,,,,,,
sha256,0440ef40c46fdd2b5d86e7feef8577a8591de862cfd7928cdbcc8f47b8fa3ffc,"Malicious driver signed by Zhuhai liancheng Technology Co., Ltd.",,,,,,
sha256,0d10c4b2f56364b475b60bd2933273c8b1ed2176353e59e65f968c61e93b7d99,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,274340f7185a0cc047d82ecfb2cce5bd18764ee558b5227894565c2f9fe9f6ab,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,42b22faa489b5de936db33f12184f6233198bdf851a18264d31210207827ba25,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,5f6fec8f7890d032461b127332759c88a1b7360aa10c6bd38482572f59d2ba8b,Malicious driver signed by Beijing JoinHope Image Technology Ltd.,,,,,,
sha256,601837510987c6ca31d755e12e7acbb80c541c4b1bd3fa01e9f518d0d024d6e0,Cuba ransomware DLL (a.dll)  Troj/Ransom-GUI (not on VT),,,,,,
sha256,64e23e15f4c57b6bd6e34250b099f2071307c402486b7fd6c9432a91fdb6eb59,driver loader (new_s.exe)  Troj/AVKill-Q (not on VT),,,,,,
sha256,6839fcae985774427c65fe38e773aa96ec451a412caa5354ad9e2b9b54ffe6c1,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,7f4555a940ce1156c9bcea9a2a0b801f9a5e44ec9400b61b14a7b1a6404ffdf6,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,8e035beb02a411f8a9e92d4cf184ad34f52bbd0a81a50c222cdd4706e4e45104,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,9b1b15a3aacb0e786a608726c3abfc94968915cedcbd239ddf903c4a54bfcf0c,"Malicious driver signed by Zhuhai liancheng Technology Co., Ltd.",,,,,,
sha256,c8f9e1ad7b8cce62fba349a00bc168c849d42cfb2ca5b2c6cc4b51d054e0c497,Malicious driver signed by Windows Hardware Compatibility Publisher,,,,,,
sha256,d7c81b0f3c14844f6424e8bdd31a128e773cb96cccef6d05cbff473f0ccb9f9c,Malicious driver signed by nVidia Corporation,,,,,,
sha256,4f94155e5a1a30f7b05280dd5d62c3410bcc52aea03271d086afa5dc5d97e585,driver loader (new_s.exe)  Troj/AVKill-Q (not on VT),,,,,,
sha256,e8eec2c2be6abdef6987d4a5ad850f17b335db242d5657a6f47733bf6a03dc03,driver loader (new_s.exe)  Troj/AVKill-Q (not on VT),,,,,,
